question,answer
¿Puedo recoger mi pedido personalmente?,Sí. puedes recogerlo en nuestra tienda física con previa notificación.
¿Ofrecen cursos o capacitaciones?,Sí. contamos con cursos virtuales gratuitos para nuestros clientes.
¿Qué pasa si el producto llega dañado?,Lo reemplazamos sin costo adicional si se reporta dentro de las 24 horas.
¿Tienen soporte técnico?,Sí. contamos con soporte técnico especializado para nuestros productos.
¿Puedo actualizar la dirección de entrega después de hacer el pedido?,Sí. comunícate con nosotros inmediatamente para actualizar la dirección.
¿Hay límite de compra por cliente?,No. puedes comprar la cantidad que desees. sujeto a disponibilidad.
¿Puedo pagar con tarjeta de crédito?,Sí. aceptamos todas las tarjetas de crédito principales.
¿Cómo sé si mi pedido fue procesado correctamente?,Recibirás un correo de confirmación con los detalles de tu pedido.
¿Puedo cambiar un producto por otro?,Sí. puedes cambiarlo dentro de los 15 días posteriores a la compra.
¿Qué debo hacer si olvidé mi contraseña?,Usa la opción “Recuperar contraseña” en la página de inicio de sesión.
¿Cómo puedo saber si un producto está en stock?,El estado de inventario aparece en la página del producto.
¿Cuánto tiempo dura el proceso de devolución?,El proceso puede tardar entre 3 y 5 días hábiles.
¿Ofrecen facturación electrónica?,Sí. enviamos factura electrónica automáticamente al correo.
¿Puedo solicitar una cotización personalizada?,Claro. puedes solicitarla enviando un correo a ventas@empresa.com.
¿Hay alguna promoción vigente?,Puedes consultar nuestras promociones actuales en la sección “Ofertas” de nuestra web.
¿Qué hago si no recibo mi pedido en el tiempo estimado?,Contacta a nuestro servicio al cliente para seguimiento inmediato.
¿Puedo reservar un producto?,Actualmente no ofrecemos reservas. pero puedes hacer el pedido directamente.
¿Realizan mantenimiento de productos?,Sí. ofrecemos servicios de mantenimiento postventa.
¿Cómo actualizan la información de productos en la web?,La información se actualiza diariamente por nuestro equipo técnico.
¿Puedo recibir notificaciones sobre novedades y promociones?,Sí. suscríbete a nuestro boletín en la página principal.
¿Cómo puedo cancelar un pedido?,Puedes cancelar tu pedido dentro de las primeras 24 horas contactando a servicio al cliente.
¿Qué garantía ofrecen en sus productos?,Todos nuestros productos cuentan con garantía mínima de un año.
¿Tienen tiendas físicas?,Sí. contamos con tiendas en varias ciudades. revisa la sección “Sucursales” en nuestra web.
¿Cómo puedo cambiar mi dirección de envío?,Contacta a nuestro equipo de soporte antes de que tu pedido sea enviado.
¿Qué hago si recibí un producto dañado?,Por favor. notifícanos dentro de las 48 horas posteriores a la entrega para hacer el reclamo.
¿Puedo usar más de un cupón de descuento?,No. sólo se permite un cupón por compra.
¿Cuál es el horario de atención al cliente?,Atendemos de lunes a viernes de 8:00 a.m. a 6:00 p.m.
¿Ofrecen soporte técnico?,Sí. ofrecemos soporte técnico gratuito durante el período de garantía.
¿Puedo rastrear mi pedido?,Sí. te enviamos un código de seguimiento cuando el pedido es despachado.
¿Cuánto tardan en procesar un reembolso?,Los reembolsos pueden tardar hasta 10 días hábiles en reflejarse.
¿Tienen programa de fidelización?,Sí. acumula puntos con cada compra y canjéalos por descuentos.
¿Puedo comprar al por mayor?,Sí. contáctanos para obtener información sobre ventas al por mayor.
¿Qué hago si no puedo acceder a mi cuenta?,Utiliza la opción de recuperación de cuenta o contacta a soporte.
¿Realizan envíos internacionales?,Actualmente sólo realizamos envíos nacionales.
¿Cómo protegen mis datos personales?,Cumplimos con la legislación vigente y usamos tecnologías seguras para proteger tu información.
¿Puedo modificar un pedido después de realizarlo?,Sólo si el pedido no ha sido procesado. contacta a servicio al cliente.
¿Tienen alguna política de privacidad?,Sí. puedes revisar nuestra política en el pie de página del sitio web.
¿Qué tipos de productos ofrecen?,Contamos con una amplia variedad de productos según la categoría que necesites.
¿Puedo recibir asistencia en línea?,Sí. ofrecemos chat en vivo durante el horario de atención.
¿Cuáles son las condiciones para obtener envío gratis?,El envío es gratis para compras superiores a $100.000.
¿Puedo pagar con tarjeta de crédito?,Sí. aceptamos todas las tarjetas de crédito principales.
¿Qué hago si olvidé mi contraseña?,Utiliza la opción “Recuperar contraseña” en la página de inicio de sesión.
¿Cómo puedo suscribirme a su boletín informativo?,Ingresa tu correo electrónico en la sección de suscripción al pie de página.
¿Puedo devolver un producto si no estoy satisfecho?,Sí. aceptamos devoluciones dentro de los primeros 30 días después de la compra.
¿Cuál es el costo de envío?,El costo varía según la ubicación y el peso del paquete.
¿Ofrecen soporte en otros idiomas?,Actualmente nuestro soporte está disponible solo en español.
¿Puedo comprar sin crear una cuenta?,Sí. ofrecemos la opción de compra como invitado.
¿Cómo puedo saber si un producto está disponible?,La disponibilidad aparece en la página del producto.
¿Qué métodos de pago aceptan?,Aceptamos tarjetas. transferencias bancarias y pagos en efectivo en puntos autorizados.
¿Cuál es la política para productos personalizados?,Los productos personalizados no son retornables ni reembolsables.
¿Cómo puedo actualizar mi información personal?,Desde tu perfil de usuario puedes modificar tus datos.
¿Qué hago si mi pedido llega incompleto?,Contacta a servicio al cliente inmediatamente para solucionar el problema.
¿Puedo programar la entrega para un día específico?,Sí. ofrecemos la opción de agendar entregas en algunas zonas.
¿Qué hago si mi código de descuento no funciona?,Verifica los términos y condiciones o contacta a soporte para asistencia.
¿Cuál es el tiempo estimado de entrega?,Generalmente entre 3 a 5 días hábiles.
¿Puedo cambiar el método de pago después de realizar la compra?,No. el método de pago debe ser seleccionado antes de confirmar el pedido.
¿Qué hago si detecto un cobro incorrecto?,Revisa tu estado de cuenta y contacta a soporte para hacer el reclamo.
¿Ofrecen facturación electrónica?,Sí. enviamos factura electrónica por correo después de la compra.
¿Tienen algún programa para clientes frecuentes?,Sí. ofrecemos descuentos y promociones especiales para clientes recurrentes.
¿Puedo combinar productos en un solo pedido para obtener descuento?,Sí. algunos productos tienen descuentos por compra combinada.
¿Cómo puedo cancelar un pedido?,Puedes cancelar tu pedido desde tu cuenta siempre que no haya sido enviado.
¿Puedo modificar la dirección de entrega después de hacer el pedido?,Sí. si el pedido aún no ha sido despachado puedes actualizar la dirección.
¿Qué hago si el producto llegó dañado?,Comunícate con atención al cliente para iniciar el proceso de devolución.
¿Ofrecen garantía en sus productos?,Sí. todos nuestros productos cuentan con garantía mínima de 12 meses.
¿Puedo recoger mi pedido en tienda?,Sí. ofrecemos la opción de recoger en tienda para ciertas localidades.
¿Cómo funcionan las suscripciones automáticas?,Puedes suscribirte y recibir productos periódicamente con descuento.
¿Puedo obtener una factura si compré como invitado?,Sí. debes solicitarla enviando tus datos después de la compra.
¿Qué datos necesito para registrarme?,Solo correo electrónico. nombre completo y una contraseña segura.
¿Cuál es el horario de atención al cliente?,Atendemos de lunes a viernes de 8:00 am a 6:00 pm.
¿Qué opciones de envío rápido ofrecen?,Ofrecemos envíos exprés con entrega en 24-48 horas en zonas seleccionadas.
¿Puedo usar más de un cupón de descuento?,No. solo se acepta un cupón por compra.
¿Cómo puedo cambiar mi suscripción?,Desde tu perfil puedes pausar. cancelar o modificar la suscripción.
¿Tienen tienda física?,Sí. puedes visitarnos en nuestras sucursales indicadas en la web.
¿Qué pasa si no recibo mi pedido en la fecha prometida?,Contacta con nuestro servicio para seguimiento y solución.
¿Cuánto tiempo tarda la devolución de mi dinero?,El reembolso se procesa en un plazo máximo de 10 días hábiles.
¿Puedo regalar una suscripción a otra persona?,Sí. ofrecemos tarjetas regalo y suscripciones para terceros.
¿Qué hago si tengo problemas técnicos con la plataforma?,Reporta el problema al soporte técnico a través del chat o correo.
¿Cuántos dispositivos pueden usar una misma cuenta?,La cuenta puede usarse en hasta tres dispositivos simultáneamente.
¿Se pueden guardar productos favoritos para comprar después?,Sí. puedes añadir productos a tu lista de deseos.
